City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,nadvoitsy,63.8667,34.3167,247.37,100,100,1.67,RU,1707794866
127,al jawf,29.5,38.75,285.24,59,100,3.91,SA,1707794866
128,khorixas,-20.3667,14.9667,298.92,59,100,0.51,NA,1707794866
129,kone,-21.0595,164.8658,304.59,56,7,3.44,NC,1707794866
130,charters towers,-20.1,146.2667,306.25,39,5,2.74,AU,1707794867
131,villa yapacani,-17.4,-63.8333,296.51,98,99,2.23,BO,1707794867
132,badger,64.8,-147.5333,267.24,88,75,3.6,US,1707794867
133,zvenigovo,55.9742,48.0181,264.68,96,100,2.05,RU,1707794867
134,nishinoomote,30.7333,131.0,291.46,55,75,3.09,JP,1707794867
135,jamestown,42.097,-79.2353,272.05,83,0,4.63,US,1707794585
136,paka,4.6374,103.4368,302.11,74,40,4.12,MY,1707794867
137,college,64.8569,-147.8028,267.29,86,75,3.6,US,1707794867
138,happy valley-goose bay,53.3168,-60.3315,266.32,93,100,2.57,CA,1707794749
139,peshawar,34.008,71.5785,282.23,49,20,0.0,PK,1707794646
140,tiksi,71.6872,128.8694,240.68,100,100,1.19,RU,1707794867
141,hawaiian paradise park,19.5933,-154.9731,296.97,81,100,1.54,US,1707794868
142,deqen,29.9618,90.7188,271.51,22,100,1.77,CN,1707794868
143,korla,41.7597,86.1469,274.37,54,100,2.45,CN,1707794868
144,punta del este,-34.9667,-54.95,292.21,75,75,9.26,UY,1707794868
145,gilgit,35.9221,74.3087,274.57,32,100,1.59,PK,1707794868
146,qaqortoq,60.7167,-46.0333,270.51,93,100,3.74,GL,1707794868
147,wailua homesteads,22.0669,-159.378,298.59,67,0,4.12,US,1707794868
148,laguna,38.421,-121.4238,285.32,72,0,0.0,US,1707794868
149,devonport,-41.1667,146.35,292.33,94,100,2.34,AU,1707794868
150,arraial do cabo,-22.9661,-42.0278,296.41,92,92,2.18,BR,1707794573
151,port mathurin,-19.6833,63.4167,300.39,83,35,9.65,MU,1707794868
152,santana,-0.0583,-51.1817,298.25,94,100,1.03,BR,1707794868
153,dudinka,69.4058,86.1778,235.75,99,36,1.79,RU,1707794603
154,ciudad general teran,25.2667,-99.6833,286.2,34,100,1.8,MX,1707794869
155,newman,37.3138,-121.0208,285.28,79,75,1.65,US,1707794869
156,lymanske,46.6557,29.9672,281.09,89,100,2.82,UA,1707794869
157,cururupu,-1.8283,-44.8683,297.05,95,80,0.97,BR,1707794758
158,kimbe,-5.5502,150.1429,301.5,81,95,2.31,PG,1707794869
159,arroyo,41.6096,-4.7969,284.94,73,75,4.63,ES,1707794869
160,georgetown,5.4112,100.3354,304.12,58,20,2.57,MY,1707794869
161,imperatriz,-5.5264,-47.4917,296.25,95,71,1.22,BR,1707794843
162,northam,51.0333,-4.2167,279.48,82,98,5.04,GB,1707794869
163,avarua,-21.2078,-159.775,302.18,65,20,3.09,CK,1707794869
164,carnarvon,-24.8667,113.6333,305.58,48,0,6.34,AU,1707794869
165,vilhena,-12.7406,-60.1458,293.62,99,100,1.0,BR,1707794869
166,kununurra,-15.7667,128.7333,303.14,79,75,5.66,AU,1707794870
167,otacilio costa,-27.4831,-50.1219,292.89,95,100,1.38,BR,1707794870
168,port douglas,-16.4833,145.4667,301.89,73,20,3.48,AU,1707794870
