City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,kitgum,3.2783,32.8867,296.39,44,31,1.06,UG,1707361379
221,warmbaths,-24.8833,28.2833,294.5,35,50,0.91,ZA,1707361379
222,pundong,-7.9522,110.3486,302.08,70,28,2.29,ID,1707361379
223,ulladulla,-35.35,150.4667,295.12,51,64,3.91,AU,1707361180
224,hamilton,39.1834,-84.5333,283.5,52,0,3.6,US,1707360919
225,lorengau,-2.0226,147.2712,301.12,80,100,8.78,PG,1707361380
226,boguchany,58.3814,97.4531,260.58,97,99,0.54,RU,1707361380
227,kharp,66.8014,65.8081,269.07,94,100,5.7,RU,1707361380
228,piacabucu,-10.4056,-36.4344,299.54,81,83,4.51,BR,1707361381
229,mikhaylovskaya,44.9947,40.5964,285.61,48,10,9.73,RU,1707361381
230,bel ombre,41.5027,20.0446,273.13,71,100,1.48,AL,1707361159
231,yermentau,51.6214,73.1069,266.9,81,92,11.09,KZ,1707361381
232,queenstown,-31.8976,26.8753,286.08,90,61,1.43,ZA,1707361188
233,francistown,-21.17,27.5079,297.38,55,13,3.16,BW,1707361382
234,east london,65.0,-15.0,267.01,97,100,2.53,IS,1707361038
235,buala,-8.145,159.5921,303.54,71,100,6.17,SB,1707361148
236,reggane,26.7158,0.1714,288.85,20,33,4.3,DZ,1707361382
237,lompoc,34.6391,-120.4579,284.14,76,100,6.17,US,1707361383
238,tangalle,6.024,80.7911,297.24,74,93,4.99,LK,1707361180
239,paita,-5.0892,-81.1144,299.08,82,64,4.71,PE,1707361383
240,lewiston orchards,44.1003,-70.2148,272.94,85,0,0.0,US,1707360887
241,antofagasta,-23.65,-70.4,295.75,80,37,1.93,CL,1707361384
242,selfoss,63.9331,-20.9971,267.51,83,4,4.74,IS,1707361384
243,laascaanood,8.4774,47.3597,291.26,88,84,3.87,SO,1707361384
244,papao,-17.75,-149.55,301.97,90,100,16.68,PF,1707361209
245,vandergrift,40.6028,-79.5648,278.18,47,66,1.46,US,1707361384
246,canto do buriti,-27.5868,-48.5862,300.07,89,75,0.0,BR,1707361385
